Service_ID,NAME,DESC,SPECIAL_INSTRUCTIONS,AVAILABILITY,DUR_MINUTE,PRICE_NOTE,ORIGINAL_PRICE,DICOUNTED_PRICE,PHIL_HEALTH_PROMO_PRICE,IS_ACTIVE(Yes/No),CREATED_AT,UPDATED_AT,ARCHIVED_AT
S1,Complete Laboratory,"Full range of chemistry, hematology and urinalysis tests for screening, monitoring and diagnosis.",Fasting may be required depending on the test; follow clinic guidance.,REGULAR,,Prices vary by test panel and doctor's request. Bundled rates available for multiple tests.,,,,Yes,,,
S2,X-ray / Ultrasound,General radiography and ultrasound imaging performed by licensed staff with physician over-read.,Bring prior imaging/report if available.,X-ray — Daily 09:00–16:00; Ultrasound — Mon/Wed/Fri 14:00–17:00,,Price depends on the specific view/area and whether contrast or additional plates are needed.,,,,Yes,,,
S3,12-Lead ECG,Heart rhythm analysis.,,REGULAR,,, ,250,,Yes,,,
S4,Drug Testing,Standard screening.,,REGULAR,,, ,280,,Yes,,,
S5,Animal Bite Center,"Walk-in assessment for animal bites and scratches. Exposure categorization, wound care, and advice on vaccine/ERIG administration following DOH guidelines.",,REGULAR,,"Total cost depends on vaccine doses, ERIG requirement, and follow-up schedule.",,,,Yes,,,
S6,Pap Smear,Cervical cancer screening performed by trained providers with proper collection and result counseling.,,REGULAR,,Pricing varies by lab method and whether additional HPV testing is requested.,,,,Yes,,,
,Circumcision,"Surgical circumcision, all-in package.",,REGULAR,,, ,2400,,Yes,,,
S7,Vaccination,Routine and catch-up immunizations for children and adults; includes pre-screening and post-vaccination instructions.,,REGULAR,,"Cost depends on vaccine brand, age group and dose number.",,,,Yes,,,
S8,Neuro Psychological Test,Psychometric testing for employment or clearance.,,REGULAR,,, ,1150,,Yes,,,
S9,Annual Medical Examination,Comprehensive employee or individual medical exam with required tests and medical certificate. Packages can be tailored to company policies.,,REGULAR,,Rates depend on requested tests and company requirements.,,,,Yes,,,
S11,Home Service Laboratory & Checkup,Home specimen collection and basic checkups for patients who prefer or require at-home service. Results delivered digitally or via pick-up.,,REGULAR,,Home service fees vary by location and test type.,,,,Yes,,,
S12,Medical Certificate,"Issuance of medical certificates for work, school or travel after appropriate evaluation by a physician.",,REGULAR,,Cost varies by purpose and whether additional tests are needed.,,,,Yes,,,
S13,Rapid Antigen Test,SARS-CoV-2 antigen testing for screening and travel requirements with quick turnaround time.,,REGULAR,,Price may vary by kit brand and documentation needs.,,,,Yes,,,
S14,Multispecialty Clinic,"Consultations with specialists (Family Medicine, Internal Medicine, Pediatrics, Pulmonology, Cardiology, Gastroenterology, OB-Gyne, Pain and Occupational Health).",,REGULAR,,Professional fees vary by specialty and case complexity.,,,,Yes,,,
S15,HMO / Healthcards,Processing and acceptance of selected HMOs/healthcards for covered tests and consults subject to plan rules.,,REGULAR,,Member share depends on HMO coverage and approvals.,,,,Yes,,,
